Layer1,Layer2,acc,avg_loss,epoch,run,model_name
-0.027605345,-1.6534579,31.8,0.1365979,25.0,0.0,vgg_small
-0.026891027,-1.6391206,28.8,0.14325468,26.0,0.0,vgg_small
-0.03407536,-1.6679083,27.0,0.13975415,27.0,0.0,vgg_small
-0.029839855,-1.6946132,31.0,0.13384041,28.0,0.0,vgg_small
-0.038377363,-1.6708602,31.4,0.13732792,29.0,0.0,vgg_small
-0.04327806,-1.6048791,31.0,0.13609923,30.0,0.0,vgg_small
-0.04380469,-1.5866213,29.4,0.13891165,31.0,0.0,vgg_small
-0.044261217,-1.5904582,31.2,0.13689053,32.0,0.0,vgg_small
-0.052400816,-1.5695639,31.6,0.13768007,33.0,0.0,vgg_small
-0.054293346,-1.5430484,32.0,0.1342826,34.0,0.0,vgg_small
0.16182706,0.07071795,4.0,0.21923494,0.0,1.0,vgg_small
0.14196016,-0.5377416,9.2,0.19598731,1.0,1.0,vgg_small
0.12893197,-0.77170277,14.6,0.18531933,2.0,1.0,vgg_small
0.12721543,-1.0458599,14.6,0.17762002,3.0,1.0,vgg_small
0.116395615,-1.1759919,16.4,0.17491823,4.0,1.0,vgg_small
0.10022716,-1.2826372,19.0,0.16398472,5.0,1.0,vgg_small
0.10179819,-1.4640822,23.0,0.1598637,6.0,1.0,vgg_small
0.09680804,-1.5056269,25.0,0.1567643,7.0,1.0,vgg_small
0.079124235,-1.5336944,26.2,0.15689567,8.0,1.0,vgg_small
0.08276594,-1.6427436,23.2,0.14982262,9.0,1.0,vgg_small
0.07486459,-1.6804731,24.4,0.15498564,10.0,1.0,vgg_small
0.059599508,-1.6337903,28.8,0.14436075,11.0,1.0,vgg_small
0.05274439,-1.6781969,28.4,0.1483037,12.0,1.0,vgg_small
0.05746011,-1.7301791,28.4,0.14630616,13.0,1.0,vgg_small
0.04476566,-1.7680008,26.8,0.1464127,14.0,1.0,vgg_small
0.041004293,-1.8217715,29.6,0.14482781,15.0,1.0,vgg_small
0.04228603,-1.8343136,25.6,0.14622107,16.0,1.0,vgg_small
0.030846044,-1.8566449,28.8,0.14187011,17.0,1.0,vgg_small
0.022014651,-1.7715495,30.2,0.14442356,18.0,1.0,vgg_small
0.0163439,-1.8203324,29.8,0.14094456,19.0,1.0,vgg_small
0.014427987,-1.8488923,29.6,0.13852085,20.0,1.0,vgg_small
0.006148591,-1.7552161,28.0,0.13813789,21.0,1.0,vgg_small
0.0029607136,-1.8138374,29.4,0.13966307,22.0,1.0,vgg_small
-0.0020259835,-1.8175219,29.4,0.13940655,23.0,1.0,vgg_small
0.0013741902,-1.89342,29.4,0.13602489,24.0,1.0,vgg_small
-0.0011639347,-1.821691,34.4,0.13173555,25.0,1.0,vgg_small
-0.012907968,-1.8540368,36.2,0.12873292,26.0,1.0,vgg_small
-0.011668209,-1.8565543,31.8,0.1406374,27.0,1.0,vgg_small
-0.0150259305,-1.8452518,31.4,0.13986823,28.0,1.0,vgg_small
-0.01444277,-1.8581907,33.2,0.13373137,29.0,1.0,vgg_small
-0.02239585,-1.7831568,30.8,0.132336,30.0,1.0,vgg_small
-0.027267365,-1.8188996,32.6,0.13080427,31.0,1.0,vgg_small
-0.027773954,-1.8590451,33.6,0.131881,32.0,1.0,vgg_small
-0.033392448,-1.7635951,30.4,0.13413791,33.0,1.0,vgg_small
-0.027068663,-1.783086,34.4,0.13387817,34.0,1.0,vgg_small
-0.037681196,-1.7696863,32.2,0.13248613,35.0,1.0,vgg_small
-0.042761035,-1.8007137,34.0,0.13106917,36.0,1.0,vgg_small
0.15155837,0.112159766,3.2,0.22265264,0.0,2.0,vgg_small
0.14030644,-0.7010168,11.2,0.1934243,1.0,2.0,vgg_small
0.10892457,-0.91568756,11.0,0.18425576,2.0,2.0,vgg_small
0.10493359,-1.191798,12.8,0.17738453,3.0,2.0,vgg_small
0.10167902,-1.3686664,19.6,0.17312728,4.0,2.0,vgg_small
0.08841631,-1.395014,21.8,0.16470686,5.0,2.0,vgg_small
0.07859233,-1.4938371,20.2,0.16641232,6.0,2.0,vgg_small
0.07914245,-1.65865,21.2,0.16145673,7.0,2.0,vgg_small
0.0751206,-1.7181016,27.8,0.1511304,8.0,2.0,vgg_small
0.06704373,-1.7329807,25.6,0.15369609,9.0,2.0,vgg_small
0.061470278,-1.8354584,25.0,0.15044568,10.0,2.0,vgg_small
0.054814316,-1.8084333,25.2,0.14896235,11.0,2.0,vgg_small
0.05524093,-1.8737923,24.6,0.14857307,12.0,2.0,vgg_small
0.052104834,-1.886913,26.0,0.14994423,13.0,2.0,vgg_small
0.03573336,-1.8695405,25.6,0.14786537,14.0,2.0,vgg_small
0.034370285,-1.9038848,24.4,0.15005305,15.0,2.0,vgg_small
0.03306316,-1.9912174,29.2,0.14565314,16.0,2.0,vgg_small
0.028454911,-1.961126,28.4,0.14053963,17.0,2.0,vgg_small
0.025300412,-1.9567829,28.0,0.14233238,18.0,2.0,vgg_small
0.023317425,-2.0186212,29.4,0.14347973,19.0,2.0,vgg_small
0.013336898,-2.021449,26.4,0.14865431,20.0,2.0,vgg_small
0.017519692,-2.043823,26.2,0.14658198,21.0,2.0,vgg_small
0.003904077,-1.9955751,31.6,0.13623801,22.0,2.0,vgg_small
0.008361558,-2.118129,30.2,0.14202596,23.0,2.0,vgg_small
0.0027766735,-2.075334,27.0,0.14837012,24.0,2.0,vgg_small
0.00597806,-2.1091526,26.6,0.14222606,25.0,2.0,vgg_small
-0.0059671607,-1.9654216,28.8,0.13854358,26.0,2.0,vgg_small
-0.012948901,-1.9911695,29.8,0.13738856,27.0,2.0,vgg_small
-0.007879918,-2.0829525,33.6,0.13565953,28.0,2.0,vgg_small
-0.014007216,-2.0036182,33.4,0.13307904,29.0,2.0,vgg_small
-0.020647522,-1.9336977,31.2,0.13602431,30.0,2.0,vgg_small
-0.019410808,-1.9920208,29.6,0.13699006,31.0,2.0,vgg_small
-0.02689208,-1.9475493,31.8,0.13302158,32.0,2.0,vgg_small
-0.027769469,-1.9200336,33.8,0.12524523,33.0,2.0,vgg_small
-0.030627208,-1.9488634,30.2,0.14210948,34.0,2.0,vgg_small
-0.036240786,-1.8724945,28.2,0.14413571,35.0,2.0,vgg_small
-0.03259359,-1.9709321,32.0,0.13441084,36.0,2.0,vgg_small
-0.040206566,-1.9498674,31.8,0.13541755,37.0,2.0,vgg_small
-0.0418784,-1.9247179,30.0,0.13609713,38.0,2.0,vgg_small
-0.041379936,-1.9101442,35.4,0.11915747,39.0,2.0,vgg_small
-0.04271967,-1.8539133,35.4,0.12994197,40.0,2.0,vgg_small
-0.044666376,-1.8596845,35.8,0.12523597,41.0,2.0,vgg_small
-0.053704448,-1.8013321,36.4,0.1242013,42.0,2.0,vgg_small
-0.054150485,-1.7749819,35.4,0.13199565,43.0,2.0,vgg_small
-0.054810833,-1.7606621,28.8,0.14025117,44.0,2.0,vgg_small
-0.0578844,-1.7296932,29.4,0.13587001,45.0,2.0,vgg_small
-0.059032943,-1.7375002,30.6,0.13559449,46.0,2.0,vgg_small
-0.06250391,-1.7457106,30.2,0.13458487,47.0,2.0,vgg_small
-0.062096674,-1.7373652,35.0,0.13064575,48.0,2.0,vgg_small
-0.06562237,-1.7379129,33.6,0.13198201,49.0,2.0,vgg_small
0.1703551,0.13698825,2.8,0.21733196,0.0,3.0,vgg_small
