arch,width,seed,noise,params
simplecnn,7,1,0.1,19491
epoch,train_loss,train_acc,test_loss,test_acc,p_layer0,p_layer1,p_layer2,p_layer3
52,1.0792471601104736,0.7002,0.7731382824420929,0.7579,0.2099090814590454,-0.017688123509287834,-0.06230670213699341,-0.06991924345493317
53,1.0750979876327516,0.7044,0.8146615934848785,0.746,0.24392342567443848,-0.030121050775051117,-0.10147906839847565,-0.08151131123304367
54,1.0781326148986816,0.70134,0.786987408542633,0.7573,0.2165006399154663,-0.036193445324897766,-0.02308623492717743,-0.08701041340827942
55,1.0746757903671265,0.705,0.7867310300827026,0.756,0.20893850922584534,-0.016226666048169136,-0.0599818117916584,-0.07813841104507446
56,1.0748116578674316,0.70206,0.862931662273407,0.7342,0.2659175992012024,-0.05526813119649887,-0.13280628621578217,-0.053271014243364334
57,1.0722418788909913,0.70142,0.7924517280578613,0.7512,0.1886049509048462,-0.016079574823379517,-0.025259537622332573,-0.04476859048008919
58,1.0738686737823486,0.70236,0.7653878345012665,0.7679,0.2201499044895172,-0.03073970228433609,-0.07985804229974747,-0.06874889880418777
59,1.071367924118042,0.70274,0.7833626533508301,0.7616,0.16295494139194489,-0.005996696650981903,-0.033737484365701675,-0.04071195051074028
60,1.071649419822693,0.70172,0.7827939096450806,0.753,0.1965775191783905,-0.020483721047639847,-0.04878750815987587,-0.06439559161663055
61,1.0685317798233032,0.70414,0.7772175243377686,0.7559,0.1987583190202713,-0.027537204325199127,-0.06148142367601395,-0.07744985818862915
62,1.0700091194725037,0.7015,0.7773219882965088,0.7601,0.23886393010616302,-0.043187376111745834,-0.08562389016151428,-0.063970185816288
63,1.0681014149093628,0.70492,0.7780430702209473,0.7618,0.1943063735961914,-0.018457463011145592,-0.08682946115732193,-0.06473999470472336
64,1.0696826859283448,0.70366,0.77715791721344,0.7634,0.1936788260936737,-0.022219782695174217,-0.041164614260196686,-0.050234828144311905
65,1.0656450887298583,0.70534,0.7929936844825745,0.7526,0.16544248163700104,0.004701582714915276,-0.04467574134469032,-0.0753803476691246
66,1.066302321586609,0.70636,0.7603201623439789,0.767,0.21523527801036835,-0.03545543923974037,-0.07296199351549149,-0.04992416501045227
67,1.0625781885147094,0.7063,0.7988035746097565,0.7516,0.2211821973323822,-0.04297881945967674,-0.05846071243286133,-0.08729101717472076
68,1.063528081741333,0.70538,0.7603843901634216,0.7659,0.21508002281188965,-0.04215960577130318,-0.08333052694797516,-0.056128475815057755
69,1.065245213356018,0.70476,0.7862590661048889,0.7546,0.24418328702449799,-0.05238597095012665,-0.08247960358858109,-0.08041873574256897
70,1.061016019935608,0.70854,0.776067316532135,0.7534,0.18060976266860962,-0.008503480814397335,-0.06255008280277252,-0.05307194963097572
71,1.0634394514083862,0.70796,0.7839696126937866,0.7568,0.2102493941783905,-0.03052263706922531,-0.03969968855381012,-0.06237678974866867
72,1.0633413131332397,0.7067,0.759155031967163,0.766,0.18871870636940002,-0.015003770589828491,-0.06844522058963776,-0.05779574438929558
73,1.0602182807159424,0.70858,0.748889953660965,0.7714,0.21593858301639557,-0.03382940962910652,-0.0680178850889206,-0.0653991624712944
74,1.0608672507095336,0.70832,0.7587368023872375,0.7618,0.21897082030773163,-0.038857944309711456,-0.06982903927564621,-0.05202135816216469
75,1.0578351120758056,0.7091,0.7642714214324952,0.7624,0.21098822355270386,-0.027561726048588753,-0.08697926998138428,-0.07433737814426422
76,1.060501806716919,0.70852,0.7591712194442749,0.7644,0.17968623340129852,-0.015722600743174553,-0.056274134665727615,-0.08280353248119354
77,1.0544177710151672,0.70896,0.7554493911743164,0.7647,0.19843386113643646,-0.024128727614879608,-0.07729648798704147,-0.06372375786304474
78,1.0574761109924316,0.71092,0.763750933265686,0.7616,0.1673218458890915,-0.00921337679028511,-0.0726371705532074,-0.05084484815597534
79,1.0587210344314575,0.71056,0.7585855331420899,0.7661,0.1978507786989212,-0.03343633934855461,-0.06134277209639549,-0.042415082454681396
80,1.060063189048767,0.70808,0.7992990434646606,0.7495,0.1839546263217926,-0.01837938465178013,-0.0846315249800682,-0.07751142233610153
81,1.0554435537528992,0.70824,0.7670300799369812,0.7594,0.2082022726535797,-0.05148909240961075,-0.06166474148631096,-0.06512320786714554
82,1.0541341276550293,0.71072,0.7566735884666443,0.7642,0.1939253807067871,-0.03741180896759033,-0.0708836019039154,-0.06134913116693497
83,1.0561871282196045,0.71052,0.7914639384269714,0.7532,0.23782610893249512,-0.06546205282211304,-0.11235816031694412,-0.06460578739643097
84,1.0553025553703308,0.71024,0.757922769355774,0.7634,0.19560542702674866,-0.027599774301052094,-0.09574425220489502,-0.06804216653108597
85,1.0546816501235963,0.71026,0.7660737718582153,0.7611,0.15939226746559143,0.004369927104562521,-0.08778851479291916,-0.0465865358710289
86,1.052444899520874,0.71134,0.7483428238868713,0.7664,0.1948464810848236,-0.024001557379961014,-0.07386749982833862,-0.05496234446763992
87,1.0530523303031922,0.71114,0.7728404527664184,0.7598,0.201498344540596,-0.03547634184360504,-0.0891851857304573,-0.047867000102996826
88,1.047635164012909,0.71286,0.7509613279342652,0.7651,0.19747135043144226,-0.038978211581707,-0.06088314950466156,-0.05088780075311661
89,1.0489976170158386,0.7123,0.7620425889968873,0.7677,0.20217813551425934,-0.03253510594367981,-0.07693375647068024,-0.08483563363552094
90,1.0532493284988402,0.71184,0.7510770073890686,0.7692,0.17101797461509705,-0.01622326858341694,-0.06337952613830566,-0.061081185936927795
91,1.0470896822357179,0.71044,0.7646835410118104,0.7641,0.15683673322200775,-0.002297623548656702,-0.040480319410562515,-0.05918233096599579
92,1.050826139793396,0.71234,0.7436721260070801,0.77,0.15711404383182526,-0.011230850592255592,-0.06115574389696121,-0.0405726432800293
93,1.0482989083862304,0.71378,0.7523642687797546,0.7665,0.1647322028875351,-0.014839095063507557,-0.05603964999318123,-0.024062976241111755
94,1.0452261555290223,0.71314,0.7637402539253235,0.7651,0.18127651512622833,-0.021100400015711784,-0.06871028989553452,-0.04902998358011246
95,1.0496847179412843,0.71014,0.7479705897331238,0.7692,0.1949823796749115,-0.029067419469356537,-0.09770459681749344,-0.03692782297730446
96,1.0495479327011108,0.71332,0.7419923170566559,0.7727,0.18910536170005798,-0.0222175270318985,-0.08120381087064743,-0.05189584195613861
97,1.0469371182250977,0.71078,0.7587639735221863,0.7655,0.17499642074108124,-0.027220314368605614,-0.09400421380996704,-0.05969101935625076
98,1.046134531326294,0.71368,0.7590834063529969,0.7665,0.15547147393226624,-0.006074805743992329,-0.045823100954294205,-0.04029534012079239
99,1.0460941886138917,0.71274,0.7552036155700683,0.768,0.19079738855361938,-0.032552387565374374,-0.0836980789899826,-0.05353888124227524
100,1.0451933394241333,0.7124,0.7471186466217041,0.7687,0.18404865264892578,-0.01905948482453823,-0.06919500976800919,-0.057848185300827026
101,1.0461298715591432,0.71276,0.7818888366699219,0.7556,0.18564897775650024,-0.032332517206668854,-0.04415871948003769,-0.04432882368564606
102,1.046152241897583,0.71168,0.7671278527259827,0.7628,0.21934232115745544,-0.05027352273464203,-0.0936364009976387,-0.09968826919794083
103,1.045181634979248,0.71312,0.775655853176117,0.7579,0.16119620203971863,-0.006095827091485262,-0.04748521000146866,-0.04502306133508682
104,1.0451216672897339,0.71428,0.7406495926856994,0.774,0.18402187526226044,-0.013861446641385555,-0.0840611532330513,-0.06590421497821808
105,1.0436548287963867,0.71358,0.7477110659599304,0.77,0.17052684724330902,-0.017439957708120346,-0.0800534337759018,-0.037154752761125565
106,1.0427204840087891,0.7148,0.7489658864021301,0.7687,0.18946465849876404,-0.026571176946163177,-0.09441956132650375,-0.05930854752659798
107,1.0445877368927001,0.71298,0.7322976305484772,0.7777,0.1664613038301468,-0.0179953221231699,-0.06637608259916306,-0.0676654577255249
108,1.0406548305130006,0.71544,0.7553320146560669,0.7651,0.14297381043434143,0.0006399391568265855,-0.06541826575994492,-0.010418517515063286
109,1.0410027255630494,0.71434,0.7789403079986572,0.7585,0.21209587156772614,-0.037440214306116104,-0.09260585159063339,-0.06604611128568649
110,1.0390905377960205,0.71518,0.7456556370735169,0.7738,0.1602269411087036,-0.013788856565952301,-0.05891027674078941,-0.07707642018795013
111,1.040378801689148,0.71596,0.7453183097839355,0.7657,0.1712654083967209,-0.02693113125860691,-0.086195208132267,-0.030927835032343864
112,1.040958376159668,0.71406,0.74131430478096,0.7734,0.1660689264535904,-0.026054928079247475,-0.07635895162820816,-0.05967465415596962
113,1.042825160522461,0.71418,0.7466700637817383,0.7702,0.18272966146469116,-0.0209055133163929,-0.10892623662948608,-0.02078128419816494
114,1.041904913444519,0.7156,0.7466240001678467,0.7683,0.1668042242527008,-0.016829775646328926,-0.0807667002081871,-0.042517952620983124
115,1.0428320831298827,0.71486,0.7653372915267944,0.7631,0.20335650444030762,-0.04921288788318634,-0.08621998876333237,-0.06720167398452759
116,1.0419289613342284,0.71402,0.7352669623374939,0.7737,0.18172584474086761,-0.023922817781567574,-0.07359281927347183,-0.06162549555301666
117,1.0422722943305969,0.7157,0.7512360260009766,0.7676,0.1642385870218277,-0.013895127922296524,-0.08970081061124802,-0.04926270991563797
118,1.0402647367477418,0.71474,0.7694072459220886,0.7607,0.19151021540164948,-0.0370965376496315,-0.08712517470121384,-0.04800241440534592
119,1.0397407655715942,0.7149,0.7358353536605835,0.7751,0.1541457176208496,-0.0136257940903306,-0.06847033649682999,-0.044738028198480606
120,1.0354310390472412,0.717,0.743775977897644,0.772,0.15416845679283142,-0.018087711185216904,-0.08339836448431015,-0.0678112581372261
121,1.0388319286346435,0.71564,0.750586290550232,0.7728,0.16513913869857788,-0.023476095870137215,-0.08440592885017395,-0.04943196102976799
122,1.0392877744293212,0.71598,0.7327133409023285,0.7753,0.17141056060791016,-0.031240127980709076,-0.08609391748905182,-0.04736067354679108
123,1.03878432056427,0.71512,0.7432057804107666,0.7655,0.16495183110237122,-0.026636525988578796,-0.08362232893705368,-0.04710067808628082
124,1.0333088653182982,0.71932,0.7403415578842163,0.772,0.16871251165866852,-0.02981734648346901,-0.08061134815216064,-0.0374082550406456
125,1.038127845802307,0.71476,0.795847685623169,0.7498,0.20088735222816467,-0.04939277842640877,-0.11955888569355011,-0.0650104433298111
126,1.0365539775085448,0.71702,0.7659333184242249,0.7643,0.19000814855098724,-0.04774123430252075,-0.08189499378204346,-0.0900433287024498
127,1.0340664250183105,0.71846,0.7473326612472534,0.7677,0.17478151619434357,-0.03648719564080238,-0.0897979810833931,-0.04114289581775665
128,1.0353604356765747,0.71704,0.7498233053207397,0.7677,0.1332763433456421,-0.010955199599266052,-0.08825726807117462,-0.03666451945900917
129,1.0380981761550903,0.71692,0.7602294399261474,0.7626,0.17654617130756378,-0.04227188974618912,-0.10002940148115158,-0.045425303280353546
130,1.0364080716705322,0.71698,0.7362173928260803,0.7745,0.1609814465045929,-0.021036621183156967,-0.08788514882326126,-0.05330795794725418
131,1.0367514192581178,0.7142,0.7484876054763794,0.7696,0.18412956595420837,-0.03135688975453377,-0.10473944246768951,-0.052163016051054
132,1.034770137348175,0.71798,0.736352917957306,0.7713,0.14939968287944794,-0.01553885918110609,-0.08175501227378845,-0.04745043069124222
133,1.0340742090034485,0.71636,0.7406077789306641,0.7678,0.16465547680854797,-0.0401642769575119,-0.0678836777806282,-0.04301416873931885
134,1.0332054659843444,0.71966,0.7359538002967835,0.7747,0.16766664385795593,-0.0317549854516983,-0.09056885540485382,-0.03814730793237686
135,1.0346582617378235,0.71852,0.742296401309967,0.7691,0.1891515552997589,-0.04113529250025749,-0.09320870041847229,-0.05996839702129364
136,1.0339404891967774,0.71844,0.7381908135414124,0.7755,0.15784534811973572,-0.017084551975131035,-0.07131597399711609,-0.03972632810473442
137,1.033628224029541,0.7165,0.7384592498779297,0.773,0.15355506539344788,-0.01962186023592949,-0.08644184470176697,-0.056272633373737335
138,1.0318771131515503,0.71724,0.7647738932609558,0.7656,0.16141878068447113,-0.02740040048956871,-0.08750306814908981,-0.061237700283527374
139,1.031980418586731,0.71794,0.7356088603019715,0.7685,0.16662518680095673,-0.02877042442560196,-0.07020480930805206,-0.0689634159207344
140,1.033904294052124,0.7167,0.7464159816741943,0.7689,0.13875454664230347,-0.011446002870798111,-0.06855679303407669,-0.0422208234667778
